m,k,d,t,least_error
2,6,1000,0,2.3314683517128287e-15
2,3,1000,1,7.97695243193175e-13
2,9,1000,2,2.220446049250313e-16
2,9,1000,3,1.1102230246251565e-16
2,7,1000,4,1.1102230246251565e-16
2,9,2000,0,5.551115123125783e-16
2,9,2000,1,2.220446049250313e-16
2,7,2000,2,0.0
2,7,2000,3,2.220446049250313e-16
2,10,2000,4,2.7755575615628914e-16
2,9,4000,0,1.1102230246251565e-16
2,9,4000,1,0.0
2,8,4000,2,4.440892098500626e-16
2,10,4000,3,1.1102230246251565e-16
2,7,4000,4,1.2212453270876722e-15
2,9,8000,0,2.220446049250313e-16
2,6,8000,1,5.051514762044462e-15
2,8,8000,2,1.1102230246251565e-16
2,5,8000,3,6.106226635438361e-15
2,8,8000,4,3.3306690738754696e-16
2,7,16000,0,0.0
2,8,16000,1,0.0
2,8,16000,2,3.885780586188048e-16
2,9,16000,3,3.3306690738754696e-16
2,9,16000,4,1.1102230246251565e-16
2,7,32000,0,3.3306690738754696e-16
2,6,32000,1,2.220446049250313e-16
2,8,32000,2,2.7755575615628914e-16
2,7,32000,3,0.0
2,8,32000,4,1.6653345369377348e-16
2,7,64000,0,2.220446049250313e-16
2,8,64000,1,4.440892098500626e-16
2,8,64000,2,0.0
2,8,64000,3,4.996003610813204e-16
2,7,64000,4,3.885780586188048e-16
2,7,128000,0,3.3306690738754696e-16
2,7,128000,1,1.1102230246251565e-16
2,8,128000,2,1.1102230246251565e-16
2,7,128000,3,4.996003610813204e-16
