m,k,d,orig,comp
3,4,1000,0.5008572464550136,0.5008883019835552
3,4,1000,0.5004846053383988,0.5004881970142788
3,4,1000,0.5012444152959253,0.5012768808882432
3,4,1000,0.4975527684488602,0.49758602637079147
3,4,1000,0.4971851763198151,0.497174322627637
3,4,1000,0.5014889863042515,0.5014732554901739
3,4,1000,0.5009542710184413,0.5009527598698775
3,4,1000,0.49858655958066855,0.49858111914095665
3,4,1000,0.49908642298573785,0.49908840411013733
3,4,1000,0.49920793627481236,0.49922486773790176
3,4,2000,0.49952851741740756,0.49948124316897574
3,4,2000,0.4996363611812847,0.499636269437036
3,4,2000,0.5004363823027095,0.5004380946465624
3,4,2000,0.49922942679964194,0.49923010684663244
3,4,2000,0.4998397574822818,0.49982657893377513
3,4,2000,0.5002369675848706,0.5002284377868231
3,4,2000,0.49900250562937715,0.49899571553736105
3,4,2000,0.5001934419176698,0.5001894453182775
3,4,2000,0.49938870534408963,0.4993821446648382
3,4,2000,0.5010684171389498,0.5010765281280041
3,4,4000,0.49982234674415077,0.499818818934647
3,4,4000,0.49901952453780596,0.4990228470037419
3,4,4000,0.4995492650805146,0.4995461550010848
3,4,4000,0.5004851472214905,0.5004809381248249
3,4,4000,0.5001268230174031,0.50012258355841
3,4,4000,0.49889407313554424,0.4988936459088978
3,4,4000,0.5002041174058313,0.500207810948893
3,4,4000,0.49956240961749426,0.4995672408522203
3,4,4000,0.500485649598622,0.5004862472062266
3,4,4000,0.4993828312224317,0.49938432608075706
3,4,8000,0.5004624527010525,0.5004649864494829
3,4,8000,0.4998417878933609,0.4998437625932141
3,4,8000,0.5004091686126189,0.5004091529721023
3,4,8000,0.5001787769676874,0.5001800626649908
3,4,8000,0.4998540177000237,0.4998554736836691
3,4,8000,0.5008343967316002,0.5008319895115999
3,4,8000,0.4995333472144962,0.499534788394187
3,4,8000,0.5000578932118906,0.5000557094283125
3,4,8000,0.5002515356796138,0.5002524160190496
3,4,8000,0.5000501364460603,0.5000520499282517
3,4,16000,0.500036520562723,0.5000363836622094
3,4,16000,0.5002071415485131,0.5002063632658966
3,4,16000,0.50024192484336,0.5002425824608437
3,4,16000,0.5000658734520191,0.5000642831885466
3,4,16000,0.500125342125963,0.5001247519977168
3,4,16000,0.5000102563263089,0.5000102274240472
3,4,16000,0.49940254525059397,0.4994021763555497
3,4,16000,0.5003635960553243,0.5003653605854855
3,4,16000,0.4995015172345676,0.4995016415139947
3,4,16000,0.5000201156549356,0.5000192614330347
3,4,32000,0.4999033907598299,0.4999038717904748
3,4,32000,0.5003476930422178,0.5003481332009124
3,4,32000,0.4998857053027899,0.4998856704665269
3,4,32000,0.49993882322298705,0.49993892829454195
3,4,32000,0.4999522170828694,0.49995263962874226
3,4,32000,0.4996234978889703,0.49962424707700964
3,4,32000,0.49987797953924373,0.499878079268232
3,4,32000,0.4999838333210546,0.49998369857965524
3,4,32000,0.5000036220718346,0.5000037954124916
3,4,32000,0.4998006488930674,0.49980114946421805
3,4,64000,0.4999352214901795,0.4999351672614662
3,4,64000,0.4999126327686233,0.49991263593877705
3,4,64000,0.499936869399791,0.4999367412219455
3,4,64000,0.4999992897827879,0.49999953968154726
3,4,64000,0.5000579186254198,0.5000579906984637
3,4,64000,0.5000265485184685,0.5000265437260653
