d,test_loss_orig,test_loss_cp
0,0.029939010739326477,0.029939010739326477
10,0.006856814026832581,0.006856814026832581
20,0.0068376031704247,0.0068376031704247
30,0.006789111532270908,0.006789111532270908
40,0.006733221467584372,0.006733221467584372
50,0.006696868222206831,0.006696868222206831
60,0.006663184147328138,0.006663184147328138
70,0.006616695784032345,0.006616695784032345
80,0.00645508011803031,0.00645508011803031
90,0.006242286413908005,0.006242286413908005
100,0.006107701919972897,0.006107701919972897
110,0.00601488770917058,0.00601488770917058
120,0.0058479271829128265,0.0058479271829128265
130,0.005658597219735384,0.005658597219735384
140,0.00551907392218709,0.00551907392218709
150,0.005194250959903002,0.005194250959903002
160,0.00499152485281229,0.00499152485281229
170,0.004839329980313778,0.004839329980313778
180,0.0047640143893659115,0.0047640143893659115
190,0.004742857534438372,0.004742857534438372
200,0.004748929291963577,0.004748929291963577
