seed,d,dstop,test_loss_orig,test_loss_cp
0,256,256,0.3497502319335937,0.35803164978027346
1,256,256,0.3916787561035156,0.3981399688720703
2,256,256,0.17476531646728516,0.20028946228027344
3,256,256,0.5258298162841797,0.5353771838378907
4,256,256,0.0457840283203125,0.047823925704956055
5,256,256,0.3995487109375,0.40539984130859374
6,256,256,0.2994228643798828,0.3034001965332031
7,256,256,0.12478765945434571,0.1303979652404785
8,256,256,0.14034223754882813,0.13820168914794922
9,256,256,0.1549040496826172,0.1474108085632324
10,256,256,0.41234937194824217,0.42168486572265623
11,256,256,0.2914761801147461,0.27416754272460936
12,256,256,0.1896995068359375,0.2036494400024414
13,256,256,0.28502670013427733,0.2798755728149414
14,256,256,0.28094542053222654,0.27784848205566404
15,256,256,0.22630894775390625,0.2403613442993164
16,256,256,0.4412460229492188,0.46229778869628907
17,256,256,0.17596132995605468,0.1816900134277344
18,256,256,0.13633886184692381,0.13946014114379882
19,256,256,0.37397457946777346,0.3731977197265625
0,512,362,0.04929258934020996,0.0492856046295166
1,512,362,0.09205696762084961,0.09252467834472657
2,512,362,0.11688298217773438,0.12667170715332032
3,512,362,0.09244188980102538,0.08851785400390624
4,512,362,0.07918773468017579,0.07699541778564453
5,512,362,0.08492985473632812,0.08545546325683594
6,512,362,0.12648601516723632,0.1259461196899414
7,512,362,0.1003460269165039,0.10377725738525391
8,512,362,0.12797420211791993,0.13241781051635743
9,512,362,0.21352490509033203,0.22035531127929686
10,512,362,0.08167318252563477,0.08001239517211914
11,512,362,0.1238973666381836,0.12980649291992188
12,512,362,0.2063751495361328,0.2328311166381836
13,512,362,0.10400136001586914,0.10447081115722656
14,512,362,0.13493312118530273,0.13775100280761718
15,512,362,0.0745997959136963,0.07014275650024414
16,512,362,0.1249198390197754,0.12334603591918945
17,512,362,0.052002717742919924,0.06081327049255371
18,512,362,0.1349380126953125,0.13896786575317382
19,512,362,0.20452768432617188,0.19813750854492188
0,1024,512,0.06539920761108399,0.06534269912719727
1,1024,512,0.09082613800048828,0.0911167333984375
