m,k,d,t,least_error
2,5,1000,0,3.293567640838546e-10
2,7,1000,1,5.608846720406291e-13
2,5,1000,2,2.1207879896678605e-10
2,2,1000,3,8.149736574480926e-08
2,4,1000,4,9.258926958466418e-11
2,4,2000,0,2.6578937606380748e-08
2,10,2000,1,9.63895629979561e-13
2,5,2000,2,1.2674639116028175e-11
2,8,2000,3,1.0026638408433541e-09
2,4,2000,4,7.970071902452247e-08
2,4,4000,0,1.4788215652039582e-08
2,3,4000,1,3.9034054766240445e-08
2,3,4000,2,3.860681774270347e-09
2,3,4000,3,2.73991922483674e-08
2,4,4000,4,4.796299700737805e-07
2,5,8000,0,7.986700090167886e-08
2,11,8000,1,4.327538327686398e-12
2,8,8000,2,1.932787263569935e-12
2,7,8000,3,1.964117757324857e-11
2,4,8000,4,4.159459954244937e-08
2,5,16000,0,1.5736331127058634e-09
2,7,16000,1,1.9917401061775308e-13
2,7,16000,2,1.8793633316249725e-11
2,7,16000,3,8.3532514238982e-11
2,4,16000,4,1.270533589448064e-08
2,13,32000,0,2.930988785010413e-14
2,4,32000,1,2.443071411839526e-09
2,10,32000,2,1.8653545375002523e-10
2,3,32000,3,1.7959281839452501e-09
2,7,32000,4,3.432809592140984e-13
2,10,64000,1,1.2101430968414206e-14
2,8,64000,2,1.0103029524088925e-14
2,5,64000,3,9.787393118187993e-12
2,10,64000,4,5.053735208093713e-13
