d,test_loss_orig,test_loss_cp
0,0.06307712197303772,0.06343286484479904
10,0.004269430413842201,0.0047003114596009254
20,0.004326895345002413,0.004684946034103632
30,0.0041867466643452644,0.0045931641943752766
40,0.004016536753624678,0.004469658248126507
50,0.003833560273051262,0.004384657833725214
60,0.0036819851957261562,0.00431028101593256
70,0.0036243789363652468,0.004300139844417572
80,0.0038609281182289124,0.004492361098527908
90,0.004242531023919582,0.004687747918069363
100,0.004038934595882893,0.004387924913316965
110,0.0034397912677377462,0.0038317611906677485
120,0.0029746536165475845,0.003407492768019438
130,0.002739165909588337,0.0032020611688494682
140,0.0026420941576361656,0.0030987991485744715
150,0.002286367118358612,0.002699571195989847
160,0.001996133476495743,0.0024653454311192036
170,0.0017265656497329473,0.0021780934184789658
180,0.0016047745011746883,0.0020588645711541176
190,0.0015568295493721962,0.0020125904120504856
200,0.0015540402382612228,0.0020096399821341038
