d,test_loss_orig,test_loss_cp
0,0.03941895812749863,0.039758194237947464
10,0.00418897857889533,0.004180343821644783
20,0.004378058481961489,0.004288299474865198
30,0.004341723397374153,0.004188410006463528
40,0.0041400291956961155,0.004069468006491661
50,0.003877075854688883,0.0038092760369181633
60,0.0036567996721714735,0.003649479942396283
70,0.003538216929882765,0.0035190319176763296
80,0.003343049669638276,0.0033733686432242393
90,0.0029436855111271143,0.003030808176845312
100,0.0026867487467825413,0.002723673125728965
110,0.0026932470500469208,0.002720474498346448
120,0.0028730258345603943,0.0029239219147711992
130,0.0024416663218289614,0.0024543211329728365
140,0.002380046993494034,0.002344416454434395
150,0.0017081889091059566,0.001714143669232726
160,0.001089491881430149,0.0011307570384815335
170,0.0008783948724158108,0.000949104898609221
180,0.0007703668088652194,0.0008407679852098227
190,0.0006973149720579386,0.000767789373639971
200,0.000670131528750062,0.0007404435891658068
